image_name,particle_id,class_id,class_name,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,area_px,eq_diameter_px,aspect_ratio,circularity,gray_mean,gray_std
train_0000.png,0,0,fiber_particle,556,610,594,640,435.0000,23.5342,1.2333,0.7222,157.7975,40.0437
train_0000.png,1,2,light_carbon_particle,764,820,772,832,82.0000,10.2179,1.5000,0.8914,201.7844,14.9068
train_0000.png,2,0,fiber_particle,746,218,777,235,181.0000,15.1808,1.8235,0.5067,181.9370,27.1845
train_0000.png,3,3,copper_particle,300,172,318,189,172.0000,14.7986,1.0000,1.2000,173.7184,30.1936
train_0000.png,4,2,light_carbon_particle,595,607,604,620,84.0000,10.3418,1.5000,0.8617,199.7694,16.0801
train_0000.png,5,0,fiber_particle,636,703,648,764,359.0000,21.3797,5.5455,0.2934,175.7658,28.0936
train_0000.png,6,1,dark_carbon_particle,755,728,779,746,284.0000,19.0158,1.3333,1.1380,127.6364,51.5481
train_0000.png,7,1,dark_carbon_particle,403,171,439,199,738.0000,30.6537,1.2857,0.8254,117.8285,55.3881
train_0000.png,8,1,dark_carbon_particle,214,485,236,507,336.0000,20.6835,1.1000,1.2000,157.9731,32.8837
train_0000.png,9,3,copper_particle,200,177,210,190,85.0000,10.4031,1.4444,1.2000,175.9125,35.2958
train_0000.png,10,3,copper_particle,601,774,612,785,99.0000,11.2272,1.0000,1.2000,188.0947,29.7800
train_0000.png,11,3,copper_particle,432,773,451,786,192.0000,15.6353,1.4615,1.1915,163.5845,32.6515
train_0000.png,12,1,dark_carbon_particle,481,553,506,578,410.0000,22.8479,1.0000,1.2000,141.3863,38.6332
train_0000.png,13,1,dark_carbon_particle,475,805,497,825,308.0000,19.8030,1.1000,1.2000,134.5515,39.0124
train_0000.png,14,1,dark_carbon_particle,831,790,842,798,64.0000,9.0270,1.3750,1.2000,149.4633,46.0657
train_0000.png,15,2,light_carbon_particle,614,429,630,441,117.0000,12.2053,1.0833,0.8335,186.4388,19.4451
train_0000.png,16,1,dark_carbon_particle,793,303,816,325,370.0000,21.7048,1.0455,1.2000,156.5674,40.5771
train_0000.png,17,2,light_carbon_particle,238,768,262,785,279.0000,18.8476,1.5000,0.7364,206.6915,13.2181
train_0000.png,18,2,light_carbon_particle,722,241,743,265,392.0000,22.3408,1.1429,0.8097,195.9203,16.4377
train_0000.png,19,1,dark_carbon_particle,546,758,559,775,159.0000,14.2283,1.2308,1.1886,157.8720,41.4242
train_0000.png,20,0,fiber_particle,293,554,315,584,313.0000,19.9631,1.3636,0.8762,174.8818,22.3417
train_0000.png,21,2,light_carbon_particle,532,427,552,437,154.0000,14.0028,1.8000,0.9146,193.0823,18.6005
train_0000.png,22,2,light_carbon_particle,796,650,816,666,224.0000,16.8880,1.2500,0.7565,201.8309,17.3828
train_0000.png,23,1,dark_carbon_particle,359,375,383,388,232.0000,17.1870,1.8462,1.1662,169.0360,36.7853
train_0000.png,24,2,light_carbon_particle,662,401,683,417,250.0000,17.8412,1.3125,0.8443,193.2955,24.0557
train_0000.png,25,2,light_carbon_particle,556,177,581,193,345.0000,20.9587,1.5625,0.9106,189.9318,12.1424
train_0000.png,26,4,bubble,215,611,240,636,457.0000,24.1220,1.0870,1.2000,228.5060,5.7173
train_0000.png,27,2,light_carbon_particle,162,711,183,724,176.0000,14.9696,1.3077,0.8847,204.6048,10.8555
train_0000.png,28,1,dark_carbon_particle,161,323,185,344,316.0000,20.0585,1.1667,0.9116,157.2867,35.0704
train_0000.png,29,2,light_carbon_particle,285,598,309,614,284.0000,19.0158,1.5000,0.7496,196.4287,19.5576
train_0000.png,30,0,fiber_particle,501,444,522,577,413.0000,22.9314,6.3333,0.0723,156.2081,26.8774
train_0000.png,31,2,light_carbon_particle,451,466,472,478,212.0000,16.4294,1.7500,0.8200,193.5988,14.9194
train_0000.png,32,5,aggregate_particle,160,803,201,830,471.0000,24.4887,1.5769,0.4043,169.2176,40.2314
train_0000.png,33,2,light_carbon_particle,574,606,590,618,132.0000,12.9641,1.3333,0.7509,192.3560,17.4872
train_0000.png,34,4,bubble,571,513,620,564,1931.0000,49.5845,1.0408,1.2000,227.2544,5.0532
train_0000.png,35,3,copper_particle,675,648,694,666,260.0000,18.1946,1.0000,1.1631,165.1212,36.6209
train_0000.png,36,2,light_carbon_particle,520,477,532,493,128.0000,12.7662,1.3333,0.6434,195.6061,24.0602
train_0000.png,37,2,light_carbon_particle,645,612,669,628,264.0000,18.3340,1.5000,0.6770,176.8311,23.3841
train_0000.png,38,1,dark_carbon_particle,481,372,500,388,223.0000,16.8503,1.1875,1.2000,147.9736,32.0432
train_0000.png,39,2,light_carbon_particle,746,395,766,411,230.0000,17.1127,1.2500,0.7519,200.3044,15.3883
train_0000.png,40,4,bubble,458,827,481,850,401.0000,22.5958,1.0000,1.2000,228.1119,5.2094
train_0000.png,41,0,fiber_particle,296,312,314,368,703.0000,29.9180,3.0556,0.5935,181.1091,22.0837
train_0000.png,42,3,copper_particle,192,335,212,348,179.0000,15.0967,1.5385,1.0183,137.7280,49.4559
train_0000.png,43,4,bubble,485,284,516,317,755.0000,31.0048,1.0645,1.2000,223.7278,6.2484
train_0000.png,44,5,aggregate_particle,770,420,808,465,1074.0000,36.9792,1.1842,0.8237,165.5762,35.6540
train_0000.png,45,2,light_carbon_particle,581,581,594,593,117.0000,12.2053,1.0000,0.8746,194.7246,19.3706
train_0000.png,46,2,light_carbon_particle,215,686,243,714,557.0000,26.6307,1.0000,0.7595,193.9642,15.5991
train_0000.png,47,1,dark_carbon_particle,170,367,206,387,435.0000,23.5342,2.2500,0.7222,139.7214,43.7538
train_0001.png,48,2,light_carbon_particle,724,479,741,495,215.0000,16.5453,1.0625,0.9265,202.7747,13.2551
train_0001.png,49,2,light_carbon_particle,436,286,458,310,419.0000,23.0973,1.2000,0.8654,188.5785,11.8932
train_0001.png,50,2,light_carbon_particle,597,650,614,663,154.0000,14.0028,1.3077,0.8761,186.5284,21.5500
train_0001.png,51,2,light_carbon_particle,509,182,518,191,64.0000,9.0270,1.0000,1.0258,183.3368,8.7209
